"년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"2025","1162057500","001","원당경로당","서울특별시 관악구 남부순환로247다길 60","","177.00","22","","20240520","20240930","126.964113","37.478639","196825.772280","542133.938556"
"2025","1162057500","001","행운경로당","서울특별시 관악구 행운9길 34","","113.00","14","","20240520","20240930","126.959638","37.483375","196430.181015","542659.731757"
"2025","1162057000","005","행운동주민센터","서울특별시 관악구 행운1길 43","","690.00","26","","20240520","20240930","126.957032","37.480668","196199.511863","542359.348364"
"2025","1162058000","001","백설경로당","서울특별시 관악구 관악로6길 50","","63.00","8","","20240520","20240930","126.953496","37.476247","195886.560798","541868.869391"
"2025","1162058000","001","덕진경로당","서울특별시 관악구 남부순환로234길 37","","147.00","19","","20240520","20240930","126.956821","37.477700","196180.742482","542030.003988"
"2025","1162058000","005","낙성대동주민센터","서울특별시 관악구 낙성대로4가길 5","","318.00","50","","20240520","20240930","126.958407","37.476304","196320.940802","541874.970246"
"2025","1162058500","002","관악구장애인종합복지관","서울특별시 관악구 남부순환로 1914","","64.22","7","","20240520","20240930","126.961846","37.477448","196625.174620","542001.876718"
"2025","1162055000","001","일선경로당","서울특별시 관악구 쑥고개로26길 24","","130.00","17","","20240520","20240930","126.949527","37.477823","195535.600496","542043.998353"
"2025","1162059500","001","송현경로당","서울특별시 관악구 장군봉1길 45-6 ","","199.00","25","","20240520","20240930","126.942473","37.481889","194911.920904","542495.594675"
"2025","1162055000","005","청룡동주민센터","서울특별시 관악구 쑥고개로 44","","1,441.00","41","","20240520","20240930","126.941623","37.479135","194836.578118","542189.928107"
"2025","1162051000","001","국지경로당","서울특별시 관악구 국회단지21길 14","","344.00","43","","20240520","20240930","126.941507","37.490260","194827.058505","543424.717730"
"2025","1162051000","001","은천경로당","서울특별시 관악구 봉천로27길 45","","111.00","14","","20240520","20240930","126.940835","37.485758","194767.314868","542925.092176"
"2025","1162060500","001","벽산블루밍(아)3단지 경로당","서울특별시 관악구 양녕로 117","","137.00","17","","20240520","20240930","126.942694","37.492055","194932.110198","543623.852454"
"2025","1162060500","001","두산(아)임대 3단지 경로당","서울특별시 관악구 양녕로 31","","99.00","13","","20240520","20240930","126.945793","37.485155","195205.772997","542857.903136"
"2025","1162060500","001","국사봉경로당","서울특별시 관악구 은천로15길 13-2 ","","202.00","26","","20240520","20240930","126.943705","37.487504","195021.259990","543118.719484"
"2025","1162051000","005","은천동주민센터","서울특별시 관악구 봉천로33나길 30","","48.00","35","","20240520","20240930","126.942415","37.485312","194906.996777","542875.449953"
"2025","1162061000","001","중앙경로당","서울특별시 관악구 은천로26길 14","","199.54","25","","20240520","20240930","126.950413","37.485929","195614.398179","542943.603882"
"2025","1162061500","001","장수경로당","서울특별시 관악구 양녕로6다길 11-4 ","","94.00","12","","20240520","20240930","126.949368","37.484464","195521.915324","542781.035244"
"2025","1162061000","005","중앙동주민센터","서울특별시 관악구 양녕로6다길 7","","704.47","14","","20240520","20240930","126.949755","37.484193","195556.082802","542750.961719"
"2025","1162061000","002","중앙사회복지관","서울특별시 관악구 봉천로41길 33","","66.00","17","","20240520","20240930","126.948071","37.484360","195407.197412","542769.599495"
"2025","1162062000","001","인헌경로당","서울특별시 관악구 낙성대역3길 6-6 ","","200.00","25","","20240520","20240930","126.961820","37.475853","196622.803071","541824.798525"
"2025","1162062500","001","덕양경로당","서울특별시 관악구 인헌4길 20","","400.00","50","","20240520","20240930","126.965907","37.474825","196984.299459","541710.576686"
"2025","1162062500","001","밤골경로당","서울특별시 관악구 인헌3가길 8","","98.00","13","","20240520","20240930","126.967356","37.473900","197112.435351","541607.868704"
"2025","1162062000","005","인헌동주민센터","서울특별시 관악구 남부순환로246가길 20","","500.00","28","","20240520","20240930","126.965331","37.475118","196933.361278","541743.114353"
"2025","1162063000","001","구립예촌경로당","서울특별시 관악구 남현길 41","","198.00","25","","20240520","20240930","126.976891","37.474537","197955.847324","541678.284189"
"2025","1162063000","001","관수경로당","서울특별시 관악구 승방3나길 14","","63.00","8","","20240520","20240930","126.980540","37.472880","198278.618699","541494.339822"
"2025","1162063000","005","남현동주민센터","서울특별시 관악구 남현1가길 29","","172.00","20","","20240520","20240930","126.977875","37.474688","198042.953362","541695.044438"
"2025","1162064000","001","신본경로당","서울특별시 관악구 남부순환로200다길 7","","353.00","44","","20240520","20240930","126.936493","37.482595","194383.035314","542574.313458"
"2025","1162064500","001","서원경로당","서울특별시 관악구 서원3길 10","","238.00","30","","20240520","20240930","126.933228","37.476832","194093.832147","541934.874821"
"2025","1162064500","001","신관경로당","서울특별시 관악구 신림로48길 25","","396.00","50","","20240520","20240930","126.933451","37.479402","194113.758698","542220.096533"
"2025","1162064500","005","서원동주민센터","서울특별시 관악구 신림로 282","","1,311.00","43","","20240520","20240930","126.931270","37.479783","193920.916026","542262.487705"
"2025","1162065000","001","신일경로당","서울특별시 관악구 문성로32길 18","","362.00","46","","20240520","20240930","126.928699","37.478502","193693.352176","542120.505111"
"2025","1162065500","001","신원경로당","서울특별시 관악구 남부순환로170길 6","","254.00","32","","20240520","20240930","126.924382","37.482690","193311.901018","542585.626364"
"2025","1162065000","005","신원동주민센터","서울특별시 관악구 신원로3길 13","","200.00","23","","20240520","20240930","126.927439","37.481624","193582.180028","542467.101766"
"2025","1162066000","001","서림경로당","서울특별시 관악구 서림3길 47","","52.00","7","","20240520","20240930","126.940623","37.472323","194747.598322","541433.998251"
"2025","1162066500","001","서광경로당","서울특별시 관악구 참숯5길 38","","198.00","25","","20240520","20240930","126.941748","37.476107","194847.364606","541853.920373"
"2025","1162066500","001","행복경로당","서울특별시 관악구 신림로36길 12-10 ","","202.56","26","","20240520","20240930","126.937932","37.475623","194509.843213","541800.374067"
"2025","1162066000","005","서림동주민센터","서울특별시 관악구 신림로29길 6","","780.00","23","","20240520","20240930","126.934989","37.474991","194249.482927","541730.395081"
"2025","1162068500","001","구립어울림경로당","서울특별시 관악구 남부순환로149길 34-2 ","","224.00","28","","20240520","20240930","126.915494","37.483588","192525.910056","542685.949783"
"2025","1162068000","001","신사경로당","서울특별시 관악구 조원로 151-1 ","","695.00","87","","20240520","20240930","126.919115","37.485910","192846.345891","542943.346541"
"2025","1162068000","005","신사동주민센터","서울특별시 관악구 조원로 142","","196.00","38","","20240520","20240930","126.918100","37.485500","192756.555322","542897.963940"
"2025","1162069000","001","새들경로당","서울특별시 관악구 관천로20길 43","","74.88","10","","20240520","20240930","126.925078","37.488424","193374.001170","543221.997574"
"2025","1162069500","001","색동경로당","서울특별시 관악구 신림로70길 74","","86.00","11","","20240520","20240930","126.932689","37.486505","194046.905853","543008.438842"
