순번,쉼터명칭,사용여부,도로명주소,지번주소,시설유형,시설면적,이용가능인원,운영시작일,운영종료일,평일개방여부,평일 개방시간,평일 종료시간,토요일개방여부,토요일 개방시간,토요일 종료시간,일요일 개방여부,일요일 개방시간,일요일 종료시간,공휴일 개방여부,공휴일 개방시간,공휴일 종료시간,경도,위도,비고,X좌표,Y좌표,야간개방
1,청운효자동주민센터,Y,서울특별시 종로구 자하문로 92,서울특별시 종로구 궁정동 12-1,주민센터,200,50,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9706558,37.5840952,"한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)",197408.1388,553838.072,
2,세종마을경로당,Y,서울특별시 종로구 자하문로11길 33,서울특별시 종로구 통인동 54,노인시설,141.9,50,2024-11-15,2025-03-15,Y,10:00:00,17:00:00,N,,,N,,,N,,,126.9699155,37.5803712,,197342.6186,553424.7711,
3,사직동주민센터,Y,서울특별시 종로구 경희궁1길 15,서울특별시 종로구 신문로2가 1-122,주민센터,400,50,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9706517,37.571394,"한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)",197407.3364,552428.3849,
4,사직경로당,Y,서울특별시 종로구 사직로9길 15-25 ,서울특별시 종로구 사직동 262-197,노인시설,158.5,30,2024-11-15,2025-03-15,Y,10:00:00,17:00:00,N,,,N,,,N,,,126.9655864,37.5764535,,196960.0674,552990.0827,
5,삼청동주민센터,Y,서울특별시 종로구 삼청로 107,서울특별시 종로구 삼청동 105-1,주민센터,200,50,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9817601,37.5849943,"한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)",198388.9587,553937.6134,
6,복정경로당,Y,서울특별시 종로구 삼청로4길 22,서울특별시 종로구 삼청동 35-113,노인시설,200,30,2024-11-15,2025-03-15,Y,10:00:00,17:00:00,N,,,N,,,N,,,126.9821249,37.5823969,,198421.1248,553649.3254,
7,부암동주민센터,Y,서울특별시 종로구 창의문로 145,서울특별시 종로구 부암동 265-21,주민센터,400,50,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9640763,37.5924354,"한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)",196827.3507,554763.9419,
8,신영경로당,Y,서울특별시 종로구 세검정로6길 76-19 ,서울특별시 종로구 신영동 87-1,노인시설,143.24,30,2024-11-15,2025-03-15,Y,10:00:00,17:00:00,N,,,N,,,N,,,126.9636445,37.601291,,196789.5962,555746.8296,
9,평창동주민센터,Y,서울특별시 종로구 평창문화로 65,서울특별시 종로구 평창동 186-9,주민센터,200,50,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9683786,37.6063867,"한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)",197207.8355,556312.2449,
10,평창경로당,Y,서울특별시 종로구 평창문화로 48,서울특별시 종로구 평창동 235-2,노인시설,288,40,2024-11-15,2025-03-15,Y,10:00:00,17:00:00,N,,,N,,,N,,,126.9669154,37.6053178,,197078.5934,556193.6532,
11,무악동주민센터,Y,서울특별시 종로구 통일로14길 36,서울특별시 종로구 무악동 60-2,주민센터,400,40,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9582278,37.5760029,"한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)",196310.0217,552940.3348,
12,무악제2경로당,Y,서울특별시 종로구 통일로 246-11 ,서울특별시 종로구 무악동 83,노인시설,242,50,2024-11-15,2025-03-15,Y,10:00:00,17:00:00,N,,,N,,,N,,,126.9583283,37.575735,,196318.8862,552910.5971,
13,교남동주민센터,Y,서울특별시 종로구 송월길 154,서울특별시 종로구 행촌동 211-2,주민센터,400,40,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.961963,37.571916,"한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)",196639.7897,552486.596,
14,행촌경로당,Y,서울특별시 종로구 인왕산로1길 58,서울특별시 종로구 행촌동 210-33,노인시설,200,50,2024-11-15,2025-03-15,Y,10:00:00,17:00:00,N,,,N,,,N,,,126.9630088,37.5753864,,196732.3279,552871.7334,
15,가회동주민센터,Y,서울특별시 종로구 북촌로 35,서울특별시 종로구 가회동 156,주민센터,60,50,2024-11-15,2025-03-15,Y,9:00:00,18:00:00,N,,,N,,,N,,,126.9848044,37.5800566,"한파특보 발효 시 연장 운영(평일 09:00~21:00, 주말 및 휴일 10:00~18:00)",198657.7582,553389.5372,
16,북촌경로당,Y,서울특별시 종로구 북촌로 20-27 ,서울특별시 종로구 재동 54-1,노인시설,103.1,30,2024-11-15,2025-03-15,Y,10:00:00,17:00:00,N,,,N,,,N,,,126.9858728,37.5789115,,198752.1118,553262.4295,
