"순번","행정동 이름","시설 이름","주소","시설유형","이용가능인원","평일이용시간","주말이용시간","회원제 여부","X좌표","Y좌표","면적","비고"
"1","강남구","차병원차움 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 442","기타","약 10명","04:00-익일01:00","","","203896.282430","547097.889368","",""
"2","강남구","프리마호텔 버스정류장 그린스마트쉼터1","서울특별시 강남구 도산대로 513","기타","약 10명","04:00-익일01:00","","","204373.234382","547256.874990","",""
"3","강남구","프리마호텔 버스정류장 그린스마트쉼터2","서울특별시 강남구 도산대로 529","기타","약 10명","04:00-익일01:00","","","204534.697763","547290.812459","",""
"4","강남구","강남구청 버스정류장 그린스마트쉼터1","서울특별시 강남구 학동로 426","기타","약 10명","04:00-익일01:00","","","204189.295521","546427.723515","",""
"5","강남구","강남구청 버스정류장 그린스마트쉼터2","서울특별시 강남구 학동로 425","기타","약 10명","04:00-익일01:00","","","204154.054320","546576.469150","",""
"6","강남구","신사동교회 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 217","기타","약 10명","04:00-익일01:00","","","202701.512089","546815.980572","",""
"7","강남구","씨네시티앞 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 327","기타","약 10명","04:00-익일01:00","","","203324.949642","547072.565332","",""
"8","강남구","도산공원사거리 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 305","기타","약 10명","04:00-익일01:00","","","203061.351133","546964.093157","",""
"9","강남구","한양아파트 버스정류장 그린스마트쉼터","서울특별시 강남구 압구정로 343","기타","약 10명","04:00-익일01:00","","","203538.302918","547664.486498","",""
"10","강남구","신사역 8번출구 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 125","기타","약 10명","04:00-익일01:00","","","201950.354199","546453.657421","",""
"11","강남구","신사동고개 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 157","기타","약 10명","04:00-익일01:00","","","202267.768526","546616.281610","",""
"12","강남구","언북중학교 입구 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 218","기타","약 10명","04:00-익일01:00","","","202726.188569","546743.740574","",""
"13","강남구","제일은행 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 306","기타","약 10명","04:00-익일01:00","","","203082.600708","546884.524657","",""
"14","강남구","영동119안전센터 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 330","기타","약 10명","04:00-익일01:00","","","203369.069952","546996.017038","",""
"15","강남구","강남구청역 버스정류장 그린스마트쉼터1","서울특별시 강남구 학동로 336","기타","약 10명","04:00-익일01:00","","","203503.270498","546323.802876","",""
"16","강남구","강남구청역 버스정류장 그린스마트쉼터2","서울특별시 강남구 학동로 337","기타","약 10명","04:00-익일01:00","","","203529.854838","546399.637807","",""
"17","강남구","세관앞 버스정류장 그린스마트쉼터","서울특별시 강남구 학동로 235","기타","약 10명","04:00-익일01:00","","","203095.269241","546233.924738","",""
"18","강남구","농협앞 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 443","기타","약 10명","04:00-익일01:00","","","203929.430860","547186.728388","",""
"19","강남구","신사역 1번출구 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 120","기타","약 10명","04:00-익일01:00","","","201933.352271","546360.935270","",""
"20","강남구","신사동고개 버스정류장 그린스마트쉼터","서울특별시 강남구 도산대로 159","기타","약 10명","04:00-익일01:00","","","202284.685118","546629.268326","",""
"21","강남구","논현동사거리, 학동역 버스정류장 그린스마트쉼터","서울특별시 강남구 학동로 171","기타","약 10명","04:00-익일01:00","","","202608.246735","546065.063346","",""
"22","강남구","영동시장 버스정류장 그린스마트쉼터","서울특별시 강남구 학동로 107","기타","약 10명","04:00-익일01:00","","","201988.254614","545803.892344","",""
"23","강남구","한국무역센터, 삼성역 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 517","기타","약 10명","24시간","","","205280.941565","545465.826590","",""
"24","강남구","포스코사거리 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 507","기타","약 10명","24시간","","","205103.098160","545358.626232","",""
"25","강남구","선릉역 버스정류장 그린스마트쉼터"," 서울특별시 강남구 테헤란로 306","기타","약 10명","24시간","","","203886.378715","544780.601490","",""
"26","강남구","포스코 건너편 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 443","기타","약 10명","24시간","","","204915.692807","545276.954879","",""
"27","강남구","한국무역센터, 삼성역 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 528","기타","약 10명","24시간","","","205481.264554","545404.335806","",""
"28","강남구","선릉역 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 413","기타","약 10명","24시간","","","204534.295466","545124.779945","",""
"29","강남구","서울상록회관, 한국기술센터 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 305","기타","약 10명","24시간","","","203871.325581","544875.810217","",""
"30","강남구","아가방빌딩, 하나은행 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 207","기타","약 10명","24시간","","","203423.887266","544695.320412","",""
"31","강남구","역삼역, 포스코타워 역삼 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 134","기타","약 10명","24시간","","","202989.169725","544435.544063","",""
"32","강남구","한국자산신탁, 센터필드 버스정류장 그린스마트쉼터","서울특별시 강남구 테헤란로 306","기타","약 10명","24시간","","","203886.378715","544780.601490","",""
"33","강동구","고덕리엔파크3단지경로당","강동구 상일로 74 , 335-802(상일동, 고덕리엔파크3단지)","노인시설","30","09시 ~ 18시","09시 ~ 21시","회원제","215360.106528","550302.888191","",""
"34","강동구","선린경로당","강동구 명일로10나길  5 , 선린경로당(둔촌동)","노인시설","40","09시 ~ 18시","09시 ~ 21시","회원제","212781.690003","548012.689770","",""
"35","강동구","선사현대아파트경로당","강동구 상암로 11 , 113-401(암사동, 선사현대아파트)","노인시설","56","09시 ~ 18시","09시 ~ 21시","회원제","211043.751945","550447.745164","",""
"36","강동구","안말경로당","강동구 풍성로45길 11","노인시설","42","09시 ~ 18시","09시 ~ 21시","회원제","211481.681310","547980.680234","",""
"37","강북구","미송 경로당","서울 강북구 인수봉로 42","노인시설","30","09시 ~ 18시","","","201147.591209","558247.815998","",""
"38","강북구","샛강 경로당","강북구 도봉로 96나길 9-1(번동)","노인시설","30","09시 ~ 18시","","","202859.870852","559937.407638","",""
"39","강북구","솔샘길 경로당","강북구 솔샘로 277-1(미아동)","노인시설","40","09시 ~ 18시","","","202069.735966","557695.831875","",""
"40","강북구","오동 경로당","강북구 오현로 25나길 92(번동)","노인시설","60","09시 ~ 18시","","","202935.909399","558451.466306","",""
"41","강서구","가양1동 주민센터","강서구 허준로 30  ","주민센터","20","09시 ~ 18시","","","186279.693468","552229.237907","",""
"42","강서구","가양2동 주민센터","강서구 허준로 93  ","주민센터","20","09시 ~ 18시","","","186858.553140","551991.835192","",""
"43","강서구","가양3동 주민센터","강서구 허준로 202 ","주민센터","20","09시 ~ 18시","","","187680.706202","551295.212566","",""
"44","강서구","등촌1동 주민센터","강서구 공항대로53가길 55 ","주민센터","20","09시 ~ 18시","","","187531.561728","550708.593364","",""
"45","강서구","등촌2동 주민센터","강서구 등촌로 143  ","주민센터","20","09시 ~ 18시","","","187848.715162","549247.385073","",""
"46","강서구","발산1동 주민센터","강서구 강서로47길 54  ","주민센터","20","09시 ~ 18시","","","185259.830101","550412.512324","",""
"47","강서구","방화1동 주민센터","강서구 방화대로 330 ","주민센터","20","09시 ~ 18시","","","183838.668732","552329.450756","",""
"48","강서구","방화3동 주민센터","강서구 금낭화로24길 5  ","주민센터","20","09시 ~ 18시","","","183538.704251","553257.925650","",""
"49","강서구","염창동 주민센터","강서구 양천로67가길 63 ","주민센터","20","09시 ~ 18시","","","188599.651890","550477.183450","",""
"50","강서구","우장산동 주민센터","강서구 우현로 34 ","주민센터","30","09시 ~ 18시","","","186024.873517","549867.616319","",""
"51","강서구","화곡1동 주민센터","강서구 곰달래로 79  ","주민센터","20","09시 ~ 18시","","","185999.108421","547906.184368","",""
"52","강서구","화곡2동주민센터","강서구 곰달래로37길 13  ","주민센터","20","09시 ~ 18시","","","187138.801462","548045.744645","",""
"53","강서구","화곡3동주민센터","강서구 강서로33가길 17  ","주민센터","20","09시 ~ 18시","","","185717.803163","549237.151088","",""
"54","강서구","화곡4동주민센터","강서구 곰달래로57가길 26  ","주민센터","30","09시 ~ 18시","","","187667.265561","548376.637230","",""
"55","강서구","화곡6동주민센터","강서구 화곡로 312  ","주민센터","30","09시 ~ 18시","","","186751.528991","550266.610395","",""
"56","강서구","화곡8동 주민센터","강서구 곰달래로25길 45  ","주민센터","20","09시 ~ 18시","","","186594.183671","548144.697750","",""
"57","강서구","화곡본동 주민센터","강서구 초록마을로5길 29  ","주민센터","20","09시 ~ 18시","","","186537.215811","549403.755852","",""
"58","관악구","국지경로당","관악구 국회단지21길 14","노인시설","80","09시 ~ 18시","09시 ~ 18시","","194830.791785","543427.568507","",""
"59","관악구","신림종합사회복지관","관악구 난곡로 110","복지회관","300","09시 ~ 18시","10시 ~ 18시","","192908.098530","540606.781505","",""
"126","영등포구","당산1동 공립 작은도서관","영등포구 양산로23길 11(2층)","작은도서관","22","10시 ~ 17시","","","190927.041708","547280.110102","",""
"127","영등포구","대림1동 공립 작은도서관","영등포구 디지털로441 보건소 분소 3층","작은도서관","28","10시 ~ 17시","","","191671.891551","544002.158415","",""
"129","용산구","남영동주민센터","용산구 두텁바위로 25","주민센터","10","09시 ~ 18시","","","197774.625519","549590.181359","",""
"130","용산구","원효로2동주민센터","용산구 효창원로8길 3","주민센터","20","09시 ~ 18시","","","195718.571993","548317.224262","",""
"131","용산구","이촌제1동주민센터","용산구 이촌로71길 24","주민센터","10","09시 ~ 18시","","","197642.310331","546874.827637","",""
"132","용산구","한남동주민센터","용산구 대사관로5길 1","주민센터","20","09시 ~ 18시","","","200044.928931","548340.589648","",""
"133","종로구","구립무악경로당","종로구 통일로14길 19","노인시설","30","09시 ~ 18시","","","196269.045247","552874.889096","",""
"134","종로구","동원경로당","종로구 숭인동2길 28","노인시설","35","09시 ~ 18시","","","201788.909851","553193.215471","",""
"135","종로구","혜명경로당","종로구 혜화로9길 24-9","노인시설","100","09시 ~ 18시","","","199848.342439","554277.074165","",""
"136","중구","광희동 주민센터","중구 퇴계로303-9","주민센터","30","09시 ~ 19시","","","200445.672843","551660.313597","",""
"137","중구","약수노인종합복지관","중구 다산로6길 11","복지회관","150","09시 ~ 19시","","","200823.359322","550327.417073","",""
"138","중구","청구e편한세상경로당","중구 청구로 64 청구 e편한세상 109동","노인시설","40","09시 ~ 19시","13시 ~ 17시","","201490.134182","551230.446120","",""
"139","중구","현대아파트경로당","중구 다산로 36길 109 현대아파트 정문 앞","노인시설","40","09시 ~ 19시","","","202029.533020","551219.584585","",""
"140","중랑구","망우3동주민센터","중랑구 겸재로61길 40","주민센터","20","09시 ~ 18시","","","208386.549826","554708.620650","",""
"141","중랑구","망우본동주민센터","중랑구 망우로67길 10","주민센터","50","09시 ~ 18시","","","208964.464376","555671.877401","",""
"142","중랑구","면목2동주민센터","중랑구 동일로101길 20-15 ","주민센터","20","09시 ~ 18시","","","206979.829304","554470.801202","",""
"143","중랑구","면목3.8동주민센터","중랑구 사가정로51길 48","주민센터","50","09시 ~ 18시","","","207778.855335","553714.990925","",""
"144","중랑구","면목4동주민센터","중랑구 면목로 246","주민센터","20","09시 ~ 18시","","","207562.085485","552797.548623","",""
"145","중랑구","면목5동주민센터","중랑구 동일로 619 ","주민센터","30","09시 ~ 18시","","","207021.476296","554026.775052","",""
"146","중랑구","면목7동주민센터","서울특별시 중랑구 면목로36길 4 (면목동)","주민센터","50","09시 ~ 18시","","","207602.313127","553137.554437","",""
"147","중랑구","면목본동주민센터","중랑구 면목로 397","주민센터","70","09시 ~ 18시","","","207731.886507","554197.792131","",""
"148","중랑구","묵1동주민센터","중랑구 공릉로2가길 5","주민센터","30","09시 ~ 18시","","","206929.313146","556983.131876","",""
"149","중랑구","묵2동주민센터","서울특별시 중랑구 중랑역로 181 (묵동) 2층","주민센터","15","09시 ~ 18시","","","206699.531049","556665.780599","",""
"150","중랑구","상봉1동주민센터","중랑구 상봉중앙로1길 6","주민센터","15","09시 ~ 18시","","","207696.768763","555587.144303","",""
"151","중랑구","상봉2동주민센터","중랑구 동일로114길 10","주민센터","40","09시 ~ 18시","","","207140.774897","554824.676690","",""
"152","중랑구","신내1동주민센터","중랑구 용마산로129나길 35","주민센터","15","09시 ~ 18시","","","208785.165546","556265.111531","",""
