구,행정동,가장 가까운 관측 소(구),비고
강남구,개포1동,강남,
,개포2동,강남,
,개포3동,강남,
,개포4동,서초,
,논현1동,서초,
,논현2동,서초,
,대치1동,강남,
,대치2동,강남,
,대치4동,강남,
,도곡1동,서초,
,도곡2동,서초,
,삼성1동,강남,
,삼성2동,강남,
,세곡동,송파*,
,수서동,송파*,
,신사동,성동,
,압구정동,성동,
,역삼1동,서초,
,역삼2동,서초,
,일원1동,강남,
,일원본동,강남,
,청담동,성동,
강동구,강일동,구리,경기도 구리시 토평동
,고덕제1동,강동,
,고덕제2동,강동,
,길동,강동,
,둔촌제1동,강동,
,둔촌제2동,강동,
,명일제1동,강동,
,명일제2동,강동,
,상일제1동,강동,
,상일제2동,강동,
,성내제1동,강동,
,성내제2동,강동,
,성내제3동,강동,
,암사제1동,강동,
,암사제2동,강동,
,암사제3동,강동,
,천호제1동,강동,
,천호제2동,강동,
,천호제3동,강동,
강북구,번1동,강북,
,번2동,강북,
,번3동,강북,
,미아동,강북,
,삼각산동,성북,
,삼양동,강북,
,송중동,성북,
,송천동,성북,
,수유1동,성북,
,수유2동,강북,
,수유3동,강북,
,우이동,강북,
,인수동,강북,
강서구,가양제1동,강서,
,가양제2동,강서,
,가양제3동,강서,
,공항동,김포(공),
,등촌제1동,양천,
,등촌제2동,양천,
,등촌제3동,강서,
,발산제1동,강서,
,방화제1동,강서,
,방화제2동,김포(공),
,방화제3동,강서,
,염창동,양천,
,우장산동,강서,
,화곡본동,양천,
,화곡제1동,양천,
,화곡제2동,양천,
,화곡제3동,양천,
,화곡제4동,양천,
,화곡제6동,양천,
,화곡제8동,양천,
관악구,난곡동,금천,
,난향동,금천,
,낙성대동,남현,
,남현동,남현,
,대학동,관악,
,미성동,금천,
,보라매동,기상청,
,삼성동,관악,
,서림동,관악,
,서원동,기상청,
,성현동,기상청,
,신림동,기상청,
,신사동,기상청,
,신원동,기상청,
,은천동,기상청,
,인헌동,남현,
,조원동,기상청,
,중앙동,현충원,
,청림동,현충원,
,청룡동,기상청,
,행운동,남현,
광진구,광장동,광진,
,구의제1동,광진,
,구의제2동,광진,
,구의제3동,광진,
,군자동,광진,
,능동,광진,
,자양제1동,광진,
,자양제2동,광진,
,자양제3동,광진,
,자양제4동,광진,
,중곡제1동,광진,
,중곡제2동,광진,
,중곡제3동,중랑,
,중곡제4동,중랑,
,화양동,광진,
구로구,가리봉동,금천,
,개봉제1동,구로,
,개봉제2동,광명,
,개봉제3동,광명,
,고척제1동,광명,
,고척제2동,광명,
,구로제1동,광명,
,구로제2동,광명,
,구로제3동,금천,
,구로제4동,기상청,
,구로제5동,기상청,
,수궁동,구로,
,신도림동,양천,
,오류제1동,구로,
,오류제2동,구로,
,항동,구로,
금천구,가산동,금천,
,독산제1동,금천,
,독산제2동,금천,
,독산제3동,금천,
,독산제4동,금천,
,시흥제1동,소하,경기도 광명시 소하동
,시흥제2동,소하,경기도 광명시 소하동
,시흥제3동,소하,경기도 광명시 소하동
,시흥제4동,금천,
,시흥제5동,소하,경기도 광명시 소하동
노원구,공릉1동,노원,
,공릉2동,노원,
,상계10동,도봉,
,상계1동,도봉,
,상계2동,도봉,
,상계3.4동,도봉,
,상계5동,도봉,
,상계6.7동,도봉,
,상계8동,도봉,
,상계9동,도봉,
,월계1동,노원,
,월계2동,노원,
,월계3동,노원,
,중계1동,노원,
,중계2.3동,노원,
,중계4동,노원,
,중계본동,노원,
,하계1동,노원,
,하계2동,노원,
도봉구,도봉제1동,도봉,
,도봉제2동,도봉,
,방학제1동,도봉,
,방학제2동,도봉,
,방학제3동,도봉,
,쌍문제1동,강북,
,쌍문제2동,도봉,
,쌍문제3동,강북,
,쌍문제4동,도봉,
,창제1동,도봉,
,창제2동,강북,
,창제3동,강북,
,창제4동,도봉,
,창제5동,도봉,
동대문구,답십리제1동,동대문,
,답십리제2동,동대문,
,용신동,동대문,
,이문제1동,동대문,
,이문제2동,동대문,
,장안제1동,동대문,
,장안제2동,중랑,
,전농제1동,동대문,
,전농제2동,동대문,
,제기동,동대문,
,청량리동,동대문,
,회기동,동대문,
,휘경제1동,동대문,
,휘경제2동,동대문,
동작구,노량진제1동,한강,
,노량진제2동,한강,
,대방동,기상청,
,사당제1동,남현,
,사당제2동,현충원,
,사당제3동,현충원,
,사당제4동,남현,
,사당제5동,현충원,
,상도제1동,현충원,
,상도제2동,한강,
,상도제3동,기상청,
,상도제4동,기상청,
,신대방제1동,기상청,
,신대방제2동,기상청,
,흑석동,현충원,
마포구 ,공덕동,중구,
,대흥동,마포,
,도화동,한강,
,망원제1동,마포,
,망원제2동,마포,
,상암동,마포,
,서강동,마포,
,서교동,마포,
,성산제1동,마포,
,성산제2동,마포,
,신수동,마포,
,아현동,마포,
,연남동,마포,
,염리동,마포,
,용강동,한강,
,합정동,마포,
서대문구 ,남가좌제1동,서대문,
,남가좌제2동,서대문,
,북가좌제1동,서대문,
,북가좌제2동,서대문,
